Scan do Pawn: 0x16719AAB0 em 2025-05-30 16:25:40

Offset	Tipo	Valor
0x0688	Int32	0
0x0688	Float	0.0
0x0688	Byte	0
0x0690	Int32	0
0x0690	Float	0.0
0x0690	Byte	0
0x0698	Int32	0
0x0698	Float	0.0
0x0698	Byte	0
0x06A0	Int32	0
0x06A0	Float	0.0
0x06A0	Byte	0
0x06A8	Int32	0
0x06A8	Float	0.0
0x06A8	Byte	0
0x06B0	Int32	0
0x06B0	Float	0.0
0x06B0	Byte	0
0x06B8	Int32	0
0x06B8	Float	0.0
0x06B8	Byte	0
0x06C0	Int32	256
0x06C0	Float	3.587324068671532e-43
0x06C0	Byte	0
0x06C8	Int32	0
0x06C8	Float	0.0
0x06C8	Byte	0
0x06D0	Int32	17309
0x06D0	Float	2.425507511899826e-41
0x06D0	Byte	157
0x06D8	Float	180.0
0x06D8	Byte	0
0x06E0	Int32	0
0x06E0	Float	0.0
0x06E0	Byte	0
0x06E8	Int32	256
0x06E8	Float	3.587324068671532e-43
0x06E8	Byte	0
0x06F0	Int32	0
0x06F0	Float	0.0
0x06F0	Byte	0
0x06F8	Int32	0
0x06F8	Float	0.0
0x06F8	Byte	0
0x0700	Int32	0
0x0700	Float	0.0
0x0700	Byte	0
0x0708	Int32	0
0x0708	Float	0.0
0x0708	Byte	0
0x0710	Int32	0
0x0710	Float	0.0
0x0710	Byte	0
0x0718	Int32	0
0x0718	Float	0.0
0x0718	Byte	0
0x0720	Int32	0
0x0720	Float	0.0
0x0720	Byte	0
0x0728	Int32	0
0x0728	Float	0.0
0x0728	Byte	0
0x0730	Int32	0
0x0730	Float	0.0
0x0730	Byte	0
0x0738	Int32	0
0x0738	Float	0.0
0x0738	Byte	0
0x0740	Int32	0
0x0740	Float	0.0
0x0740	Byte	0
0x0748	Int32	0
0x0748	Float	0.0
0x0748	Byte	0
0x0750	Int32	0
0x0750	Float	0.0
0x0750	Byte	0
0x0758	Int32	0
0x0758	Float	0.0
0x0758	Byte	0
0x0760	Int32	0
0x0760	Float	0.0
0x0760	Byte	0
0x0768	Int32	1
0x0768	Float	1.401298464324817e-45
0x0768	Byte	1
0x0770	Int32	0
0x0770	Float	0.0
0x0770	Byte	0
0x0778	Int32	0
0x0778	Float	0.0
0x0778	Byte	0
0x0780	Int32	196608
0x0780	Float	2.7550648847397363e-40
0x0780	Byte	0
0x0788	Int32	0
0x0788	Float	0.0
0x0788	Byte	0
0x0790	Int32	0
0x0790	Float	0.0
0x0790	Byte	0
0x0798	Int32	1
0x0798	Float	1.401298464324817e-45
0x0798	Byte	1
0x07A0	Int32	0
0x07A0	Float	0.0
0x07A0	Byte	0
0x07A8	Int32	0
0x07A8	Float	0.0
0x07A8	Byte	0
0x07B0	Int32	196608
0x07B0	Float	2.7550648847397363e-40
0x07B0	Byte	0
0x07B8	Int32	0
0x07B8	Float	0.0
0x07B8	Byte	0
0x07C0	Int32	0
0x07C0	Float	0.0
0x07C0	Byte	0
0x07C8	Int32	3
0x07C8	Float	4.203895392974451e-45
0x07C8	Byte	3
0x07D0	Int32	0
0x07D0	Float	0.0
0x07D0	Byte	0
0x07D8	Int32	0
0x07D8	Float	0.0
0x07D8	Byte	0
0x07E0	Int32	0
0x07E0	Float	0.0
0x07E0	Byte	0
0x07E8	Int32	0
0x07E8	Float	0.0
0x07E8	Byte	0
0x07F0	Int32	0
0x07F0	Float	0.0
0x07F0	Byte	0
0x07F8	Int32	3
0x07F8	Float	4.203895392974451e-45
0x07F8	Byte	3
0x0800	Int32	0
0x0800	Float	0.0
0x0800	Byte	0
0x0808	Int32	0
0x0808	Float	0.0
0x0808	Byte	0
0x0810	Int32	0
0x0810	Float	0.0
0x0810	Byte	0
0x0818	Int32	0
0x0818	Float	0.0
0x0818	Byte	0
0x0820	Int32	0
0x0820	Float	0.0
0x0820	Byte	0
0x0828	Int32	2
0x0828	Float	2.802596928649634e-45
0x0828	Byte	2
0x0830	Int32	0
0x0830	Float	0.0
0x0830	Byte	0
0x0838	Int32	0
0x0838	Float	0.0
0x0838	Byte	0
0x0840	Int32	0
0x0840	Float	0.0
0x0840	Byte	0
0x0848	Int32	0
0x0848	Float	0.0
0x0848	Byte	0
0x0850	Int32	2
0x0850	Float	2.802596928649634e-45
0x0850	Byte	2
0x0858	Int32	0
0x0858	Float	0.0
0x0858	Byte	0
0x0860	Int32	0
0x0860	Float	0.0
0x0860	Byte	0
0x0868	Int32	0
0x0868	Float	0.0
0x0868	Byte	0
0x0870	Int32	0
0x0870	Float	0.0
0x0870	Byte	0
0x0878	Int32	8
0x0878	Float	1.1210387714598537e-44
0x0878	Byte	8
0x0880	Int32	0
0x0880	Float	0.0
0x0880	Byte	0
0x0888	Int32	0
0x0888	Float	0.0
0x0888	Byte	0
0x0890	Int32	0
0x0890	Float	0.0
0x0890	Byte	0
0x0898	Int32	0
0x0898	Float	0.0
0x0898	Byte	0
0x08A0	Ptr	0xFFFFFFFF
0x08A0	Int32	-1
0x08A0	Byte	255
0x08A8	Int32	768
0x08A8	Float	1.0761972206014595e-42
0x08A8	Byte	0
0x08B0	Int32	0
0x08B0	Float	0.0
0x08B0	Byte	0
0x08B8	Ptr	0xB34ABE20
0x08B8	Float	-4.720470769825624e-08
0x08B8	Byte	32
0x08C0	Ptr	0x800000003
0x08C0	Int32	3
0x08C0	Float	4.203895392974451e-45
0x08C0	Byte	3
0x08C8	Ptr	0xFFFFFFFF
0x08C8	Int32	-1
0x08C8	Byte	255
0x08D0	Int32	768
0x08D0	Float	1.0761972206014595e-42
0x08D0	Byte	0
0x08D8	Int32	0
0x08D8	Float	0.0
0x08D8	Byte	0
0x08E0	Ptr	0x1BAF968B0
0x08E0	Float	-0.0019028391689062119
0x08E0	Byte	176
0x08E8	Ptr	0x800000003
0x08E8	Int32	3
0x08E8	Float	4.203895392974451e-45
0x08E8	Byte	3
0x08F0	Ptr	0xFFFFFFFF
0x08F0	Int32	-1
0x08F0	Byte	255
0x08F8	Int32	768
0x08F8	Float	1.0761972206014595e-42
0x08F8	Byte	0
0x0900	Int32	0
0x0900	Float	0.0
0x0900	Byte	0
0x0908	Ptr	0x1BAF9C120
0x0908	Float	-0.0019054748117923737
0x0908	Byte	32
0x0910	Ptr	0x800000003
0x0910	Int32	3
0x0910	Float	4.203895392974451e-45
0x0910	Byte	3
0x0918	Ptr	0xFFFFFFFF
0x0918	Int32	-1
0x0918	Byte	255
0x0920	Int32	768
0x0920	Float	1.0761972206014595e-42
0x0920	Byte	0
0x0928	Int32	0
0x0928	Float	0.0
0x0928	Byte	0
0x0930	Ptr	0x1BAF9CC10
0x0930	Float	-0.001905800774693489
0x0930	Byte	16
0x0938	Ptr	0x800000003
0x0938	Int32	3
0x0938	Float	4.203895392974451e-45
0x0938	Byte	3
0x0940	Ptr	0xFFFFFFFF
0x0940	Int32	-1
0x0940	Byte	255
0x0948	Int32	768
0x0948	Float	1.0761972206014595e-42
0x0948	Byte	0
0x0950	Int32	0
0x0950	Float	0.0
0x0950	Byte	0
0x0958	Ptr	0x1BAF91520
0x0958	Float	-0.00190034881234169
0x0958	Byte	32
0x0960	Ptr	0x800000003
0x0960	Int32	3
0x0960	Float	4.203895392974451e-45
0x0960	Byte	3
0x0968	Ptr	0xFFFFFFFF
0x0968	Int32	-1
0x0968	Byte	255
0x0970	Int32	768
0x0970	Float	1.0761972206014595e-42
0x0970	Byte	0
0x0978	Int32	0
0x0978	Float	0.0
0x0978	Byte	0
0x0980	Ptr	0x1BAF9ABF0
0x0980	Float	-0.0019048433750867844
0x0980	Byte	240
0x0988	Ptr	0x800000003
0x0988	Int32	3
0x0988	Float	4.203895392974451e-45
0x0988	Byte	3
0x0990	Int32	0
0x0990	Float	0.0
0x0990	Byte	0
0x0998	Int32	0
0x0998	Float	0.0
0x0998	Byte	0
0x09A0	Int32	0
0x09A0	Float	0.0
0x09A0	Byte	0
0x09A8	Int32	0
0x09A8	Float	0.0
0x09A8	Byte	0
0x09B0	Int32	0
0x09B0	Float	0.0
0x09B0	Byte	0
0x09B8	Ptr	0x1322AE980
0x09B8	Float	9.948394108505454e-09
0x09B8	Byte	128
0x09C0	Ptr	0x1BA324FC0
0x09C0	Float	-0.0006802044808864594
0x09C0	Byte	192
0x09C8	Ptr	0x122AA3B00
0x09C8	Float	4.614106101049394e-18
0x09C8	Byte	0
0x09D0	Float	20.0
0x09D0	Byte	0
0x09D8	Float	4.0
0x09D8	Byte	0
0x09E0	Float	3.0
0x09E0	Byte	0
0x09E8	Int32	0
0x09E8	Float	0.0
0x09E8	Byte	0
0x09F0	Int32	0
0x09F0	Float	0.0
0x09F0	Byte	0
0x09F8	Int32	0
0x09F8	Float	0.0
0x09F8	Byte	0
0x0A00	Int32	0
0x0A00	Float	0.0
0x0A00	Byte	0
0x0A08	Int32	0
0x0A08	Float	0.0
0x0A08	Byte	0
0x0A10	Int32	0
0x0A10	Float	0.0
0x0A10	Byte	0
0x0A18	Int32	0
0x0A18	Float	0.0
0x0A18	Byte	0
0x0A20	Float	0.15000000596046448
0x0A20	Byte	154
0x0A28	Int32	0
0x0A28	Float	0.0
0x0A28	Byte	0
0x0A30	Int32	0
