=== SCAN ESTENDIDO DE ISGHOST NO PAWN: 0x37CF2230 ===
Data/Hora: 2025-05-30 17:34:40
Offset atual de isGhost: 0x688

Valor atual de isGhost: False

=== ESCANEANDO POSSÍVEIS VALORES BOOLEANOS ===
Offset	Byte	Bool	Int8	Int16	Int32
0x0755	0	False	0	0	0
0x0756	0	False	0	0	0
0x0757	0	False	0	0	0
0x0758	0	False	0	0	0
0x0759	0	False	0	0	0
0x075A	0	False	0	0	0
0x075B	0	False	0	0	0
0x075C	0	False	0	0	0
0x075D	0	False	0	0	0
0x075E	0	False	0	0	0
0x075F	0	False	0	0	0
0x0760	0	False	0	0	0
0x0761	0	False	0	0	0
0x0762	0	False	0	0	0
0x0763	0	False	0	0	0
0x0764	0	False	0	0	0
0x0765	0	False	0	0	16777216
0x0766	0	False	0	0	65536
0x0767	0	False	0	256	256
0x0768	1	True	1	1	1
0x0769	0	False	0	0	0
0x076A	0	False	0	0	0
0x076B	0	False	0	0	0
0x076C	0	False	0	0	0
0x076D	0	False	0	0	0
0x076E	0	False	0	0	0
0x076F	0	False	0	0	0
0x0770	0	False	0	0	0
0x0771	0	False	0	0	0
0x0772	0	False	0	0	0
0x0773	0	False	0	0	0
0x0774	0	False	0	0	0
0x0775	0	False	0	0	0
0x0776	0	False	0	0	0
0x0777	0	False	0	0	0
0x0778	0	False	0	0	0
0x0779	0	False	0	0	0
0x077A	0	False	0	0	0
0x077B	0	False	0	0	0
0x077C	0	False	0	0	0
0x077D	0	False	0	0	0
0x077E	0	False	0	0	0
0x077F	0	False	0	0	50331648
0x0780	0	False	0	0	196608
0x0781	0	False	0	768	768
0x0783	0	False	0	0	0
0x0784	0	False	0	0	0
0x0785	0	False	0	0	0
0x0786	0	False	0	0	0
0x0787	0	False	0	0	0
0x0788	0	False	0	0	0
0x0789	0	False	0	0	0
0x078A	0	False	0	0	0
0x078B	0	False	0	0	0
0x078C	0	False	0	0	0
0x078D	0	False	0	0	0
0x078E	0	False	0	0	0
0x078F	0	False	0	0	0
0x0790	0	False	0	0	0
0x0791	0	False	0	0	0
0x0792	0	False	0	0	0
0x0793	0	False	0	0	0
0x0794	0	False	0	0	0
0x0795	0	False	0	0	16777216
0x0796	0	False	0	0	65536
0x0797	0	False	0	256	256
0x0798	1	True	1	1	1
0x0799	0	False	0	0	0
0x079A	0	False	0	0	0
0x079B	0	False	0	0	0
0x079C	0	False	0	0	0
0x079D	0	False	0	0	0
0x079E	0	False	0	0	0
0x079F	0	False	0	0	0
0x07A0	0	False	0	0	0
0x07A1	0	False	0	0	0
0x07A2	0	False	0	0	0
0x07A3	0	False	0	0	0
0x07A4	0	False	0	0	0
0x07A5	0	False	0	0	0
0x07A6	0	False	0	0	0
